"살짝 긴데 입기 좋아요.
 탄탄해서 자주 입어도 괜찮을거 같아요",5.0
사이즈 하나 크게 갈걸 그랬어요 후회중 후후 그냥 입어서,3.0
L로 시켜서 약간 크기는 한데 약간 오버하게 입기 너무 좋네요,5.0
이너로입으려고샀는데 모자도 빳빳하고 딱입니당,5.0
"무난하게 입기 좋아요 이너용으로도 좋아요
무난무난",5.0
진짜 짱짱하고 핏도 좋고 너무 편하고 좋아서 매일입고 다녀요!,5.0
넉넉한 사이즈. 약간 후리하게 나온듯한 느낌인데 본인은 매우만족함,5.0
"기본 회색 셋업으로 딱인거 같아요 
가볍게 흰티와 같이 코트오 입었는데 딱이더라고요",5.0
왜 ㄷㅏ들 벨란지 사는지 알겠네요 다음애도 구매하고싶어요,5.0
기본템으로 입기 너무 좋아요 사이즈는 정사이즈 가시면 될 거 같아요,5.0
"살짝 긴데 입기 좋아요.
 탄탄해서 자주 입어도 괜찮을거 같아요",5.0
사이즈 하나 크게 갈걸 그랬어요 후회중 후후 그냥 입어서,3.0
L로 시켜서 약간 크기는 한데 약간 오버하게 입기 너무 좋네요,5.0
이너로입으려고샀는데 모자도 빳빳하고 딱입니당,5.0
"무난하게 입기 좋아요 이너용으로도 좋아요
무난무난",5.0
진짜 짱짱하고 핏도 좋고 너무 편하고 좋아서 매일입고 다녀요!,5.0
넉넉한 사이즈. 약간 후리하게 나온듯한 느낌인데 본인은 매우만족함,5.0
"기본 회색 셋업으로 딱인거 같아요 
가볍게 흰티와 같이 코트오 입었는데 딱이더라고요",5.0
왜 ㄷㅏ들 벨란지 사는지 알겠네요 다음애도 구매하고싶어요,5.0
기본템으로 입기 너무 좋아요 사이즈는 정사이즈 가시면 될 거 같아요,5.0
이너로 입으면 m이면 될거같아 샀는데 좀 타이트하네여 l로 바꾸려다 귀찮아서 그냥 입슴당,4.0
사이즈 적당하고 레이어드 하기 좋아요 로고는 칼로 긁으면 땔수있으니까 때고입는거 추천,5.0
사이즈도 딱좋고 후드각 너무 맘에들어요 자주입을듯해요,5.0
가성비 진짜 최곱니다. 다들 기본으로 하나씩 구매하면 좋을거같아요,3.0
"후드 스웨트 집업은 멜란지마스터가 젤 좋은거같네요!
색상, 디자인, 마감 전부 만족합니당~",5.0
"가죽자켓이나 숏패딩 안에 포인트로 입기 너무너무 훌륭한제품입니다. 

지퍼달린 후드를 고민중이시라면 이제품은 거의 교과서나 다름없지않을까 싶네요 ㅋㅋ 

가성비 갑of갑 !",5.0
정픽임 오버핏 아니고 레이어드해서 입으면딱임,5.0
아우터 안에 레이어드 하려고 샀습니다. 가성비 좋은 가 같네요.,4.0
핏도 오버하게 이쁘고 색감도 이쁘네요 만족합니다,5.0
정핏~ 세미 오버정도로 적당했습니다 가격대비 좋습니당,5.0
전체적으로 깔끔했고 투웨이집업도 만족했습니다만 옷을 벗으면 먼지가 엄청나게 떨어지네요..ㅜ,4.0
"코트에 안에 레이어드 할려고 샀는데 
가격도 저렴하고 너무 튼튼하구 좋아요
따로 입어도 될거 같아요 맘에 듭니다 감사해요",5.0
옷 재질이 빳빴하니 호불호가 많이 갈릴듯 싶으나 저는 호입니다,4.0
너무너무 좋은거같아요. 어디에나 잘 어울리는 옷!,5.0
너무좋습니다 추천드려요 가격대비 가성비 좋아요,5.0
기장이 좀 긴데 전체적인 통은 작아요 레이어링 용으로 괜찮을것 같아요,4.0
가을에나 겨울에 아우터 안에 이너로 입으려고 샀습니다. 일단 소재가 두꺼워서 좋구요 짱짱합니다.,5.0
제가 원하던 후드집업이에요 꾸미기 좋은거 같아요,5.0
안에 이너로 입기도 적당하고 루즈핏으로 잘나온것 같습니다! 읏댑니다,5.0
"두툼해서 좋아요
무게감 있게 떨어진다랄까 좋네요",4.0
처음에는 별로였는데 한번 입어보니 이너로 자주 활용하게 되네요. 그레이에 이어서 블랙도 구입~,5.0
완전 그냥 기본템입니다. 깔끔하고 무난한게 입기 편합니다.,5.0
튼튼하고좋급니다추천드려요핏도좋고길이도적당해요,5.0
허리 시보리가 쫀쫀하고 입었을 때 후드각 잘 잡힙니다 지퍼 두개라 아랫지퍼 조금 풀고 입으면 볼록 안튀어나오고 예뻐요,5.0
"후드집업 고민하다가 근본템이면 무조건 멜란지라는 얘기를 듣고 바로 질렀습니다
두께감도 충분하고 세미오버와 오버 사이에 딱 예쁜 핏감까지 최고의 후드집업!!!",5.0
후드집업 구매하려고 했는데 후기가 좋아서 구매했는데 왜 후기가 좋은지 알겠네요,5.0
두께감이 조금 있어서 그런지 핏이 떨어지는게 이뻐서 마음에 드네요~ 코트나 패딩 이너용으로도 겨울에 매치하기 너무 좋습니다~,5.0
이가격에 너무 좋네요~!! 나중에도 자주 애용할것 같습니다.,5.0
재질도 짱찡하니 좋고 활용도 좋을 것 같아요 무난합니다,4.0
조금 작지만 입을만 하구 핏은 적당하구 추천합니다,5.0
"투웨이지퍼에 모자도 크고 아주 좋읍니다
색도 예뻐요",4.0
멜란지 후드집업 항상 장바구니에 담아놓고 보기만했는데 사서 직접 입어보니까 더 만족스럽습니다.,5.0
투웨이 지퍼 아니였으면 좀 작을 뻔 했네요 그래도 이너로 입으려고 산거라 아우터로 입으실 생각 있으신 분들은 하치수 크게 가는게 좋을 거 같아요 품질은 좋습니다,4.0
재질 질감등 생각했던것보다 좋은거 같아요 좋은가격에 잘 겟했습니다 ㅎㅎ,5.0
지퍼가 두개가 있어서 여러가지 스타일링 할 수는 있는데 손에 자수가 너무 캐주얼해서 아쉬움?,5.0
후드짚업 필요했는데 싼가격에 잘 산거 같아요 굳,4.0
한 번 더 삿습니다 그만큼 만족도 높고 핏도 이뻐용,5.0
"두께 적당하고 핏 모자등 사이즈가 적당해요
레이어드 활용도 좋고 단품 홯용도 좋고 잘산것 같네요",5.0
레이어드 하려면 한 사이즈 작게 가도 될듯요. 아우터로 입으시려면 정사이즈로 가세요,5.0
재질도 튼튼하고 이 가격에 이런 상품은 바로 구매확정 눌러줘야 합니다,5.0
기본템으로 가지고 있음 좋은거 가격도 착해서 가성비 굿,5.0
가성비로좋습니다 그냥입어도 ㄱㅊ고 레어어드용으로산거여서 레이어드로는더좋음 특히 후드각 굿굿,5.0
입어보니 편하고 좋네요 거기다 사이즈도 맞아서 매일 입을 것 같습니다,4.0
셋업으로 샀는데 좀 작다........ 한치수 더 큰거 사야했는데 근데 디자인은 이쁨,5.0
멜란지 이쁘게나온 후드에요 지퍼가 두개라 스타일도굳,4.0
"이너용으로 샀는데 딱 좋은 것 같아요 
단품으로 입기에도 좋아요",5.0
이너로 입으려고 구매했는데 자주 입을거 같습니다,5.0
두 번째 사는 건데 좋아요. 어디에나 입기에 좋네요,5.0
확실히 탄탄하고 후드 사이즈가 큰게 아주 딱 임 자주입을듯,5.0
레이어드용으로 최고입니다 소재도 탄탄한 것 같고 투웨이지퍼도 활용하기 너무 좋네용,5.0
"l m고민했는데 l은 레이어드 하기에 조금 크지 않았을까 하는 생각이 들었고, 질은 가격대비 말할 것 없을 정도입니다",5.0
딱 기본템으로 있으면 좋은거 같아요! 어디든 무난하게 잘 어울리고 좋네요!,5.0
"왜 많이들 이너, 레이어드용으로 사용하는지 알꺼같습니다 그리고 모자가 흐물거리지 않아서 그것도 좋았어요",4.0
"1. 생각보다 튼튼한 시보리
2. 저렴한 가격의 후드집업

제 스펙기준으로 이너 XL 아우터 XXL추천드립니다.",5.0
왜 사람들이 많이 사고 이용하는지 알거 같네요 어디하나 빠지는 부분이 없어요 더 많이 파세요 착한가격 진짜 좋아요 ㅎㅎ,5.0
모자각이 정말 좋아요! 다들 회색 사는것같아서 오트밀로 사봤는데 생각보다 엄청 잘입고 있어요.,4.0
조금 길어서 아쉬웠어요... 그래도 레이어드용으로 구매 한거라 봄 가을 겨울에는 잘 활용 할 듯 해요~,4.0
적당히 여유롭고 좋네요. 건조기돌려 수축후 만족할만큼 줄었네요,5.0
원단도 탄탄하고 가성비도 좋아서 잘 입을것 같습니다,4.0
가성비 진짜 좋은 거 같아요 원단 짱짱하고 지퍼도 투웨이로 다양하게 코디 가능하고,5.0
버튼 투웨이라서 편하고 생각보다 타이트한거같아요,5.0
사이즈 다른건 다 좋은데 총장이 좀 길어서 저는 총장 긴게 싫은데 s시키기엔 작을 것 같아서 m시켰는데 그래도 만족해요,5.0
생각보다 살짝 큰거 같기는한데 딱 좋아ㅇㅕ 깔끔해서 좋아요,5.0
"너무 좋습니다 레이어드로 딱이에요
그리고 가성비로도 좋네요",5.0
남자친구가 원래 입던 후드집업 보풀이 너무 날려서 버려버리고 이거 샀어요. 후기 많은만큼 만족해요!,5.0
옷감 좋구 사이즈도 적당하고 편하게 입고다니기 좋을것같습니다,5.0
가성비랑 깔끔한 후드집업 찾고 계시면 구매하시는거를 추천드립니다! 이쁘게 잘 입을게요,5.0
후드각 잘살아서 좋음 가격싸서 좋음 핏은 약간 애매함 이너용으로 쓰긴 좋은듯,4.0
진짜 사고싶었는데 드디어 구매했어요 너무 이쁩니다,5.0
지퍼 투웨이 아니었으면 못입어요;; 시보리 개짱짱해요 이건 레이어드용임 아우터로 입고 싶으시면 2사이즈 업 하세여,5.0
기본 후드집업 찾는분들에게 찰떡이라고 생각되네요 너무 만족하면서 입어요,5.0
적당히 두껍고 각도 잘잡혀있어서 이너로 딱인거같네용 아주 만족 ㅎ,5.0
도톰하고 빳빳한게 원단느낌이 좋아요 무난히 이너입기 좋은 제품,5.0
친구 선물로 샀는데 재질도 좋고 옷이 전체적으로 핏감도 예뻐서 잘입고 다닙니다,5.0
저는 이너용으로 입으려고 샀지만 사이즈 크게해서 아우터로 입어도 예쁠거같아요,5.0
정말 생각보다 가성비가 너무 좋고 올해 구매한 후드중에서 제일 실용성이 좋은것 같아요,5.0
가성비 괜찮은 것 같아요 앞으로도 브랜드 자주 둘러볼 것 같아요,4.0
모양 잘잡히고 만족합니다! 기장이 살짝 길고 두께감은 조금 얇아요,5.0
딱 기본 후드집업임 이너로 레이어드하기 너무 좋음,4.0
사셔도 후회 안하실거에요 전 학생인데 학교에서도 유용하게 사용중,5.0
"정사이즈 입니다
오버핏으로 입으려면 한두치수 크게 구매하세요",4.0
굉장히 두껍고 무겁고 각이 살아있는데 바지는 예쁜거 모르겠음........,5.0
후드집업 깔끔하네요.  편해서 집에서듀 계속 입게되네요,5.0
"사이즈도 적당하고 상품도 만족스럽습니다.
코트 안에 입으니 스타일도 나고
다음에 또 구입의사가 있습니다.",5.0
살지말지 고민하다가 샀는데 만족하고있습니다,5.0
재질좋고 무난합니다 저같은 돈없는그지한테 추천이요,5.0
"생각보다 후드각 좋고, 두께 적당해서 너무 만족스럽네요:) 멜란지마스터 후드집업이 인기좋은이유가 있습니다. 정핏이라 단품보다는 이너로 잘입고있습니다!",5.0
"너무 만족하며 잘 사용하고 있습니다. 
옷 어디 매치해도 무난하게 잘 어울려요.",5.0
회색후드집업 하나 갖고싶어서 셋업용으루다가 삿는데 너무 좋네용 ㅎㅎ,5.0
가격대비 깔끔하고 여저기 코디하기에는 이 집업이 최고네요,5.0
레이어드 할때 좋아요 가격에 좋은 옷입니다 가성비로 좋아요,4.0
"진짜 그냥 무난 그자체네요 
후기믿고 삿는데 성공입니다
사이즈도 적당하고 색도 적당하고 두께도 적당하고 아주 굿!",5.0
핏 잘 떨어지고 레이어드로 무난하게 매치 가능할 것 같습니다 만족합니다~,5.0
무난한 기본 아이템이고 레이어드용으로 좋아요,4.0
투웨이 좋고요 사이즈도 낭낭해서 막 입기 좋슴돠!!,5.0
옷이 탄탄하고 색깔도 참 이쁘고 좋은것같습니다 잘 입을게요,5.0
"시키고 배송하루만에 와서 좋습니다
면도 탄탄하고 강추",5.0
