"제가 상체가 발달되서 너무포멀한 느낌이 나지않을까
나는 캐주얼한게 좋은데 싶어서 환불하려고 생각하고있었는데 배송받고 입어보니 딱 제가 원하는 핏이었습니다 저랑 비슷한스펙이시면 무조건 투엑스로 가시는게 맞는거강아요 ㅎㅎ",5.0
무난무난한 스탠다드 블레이저네요. 라펠도 오버사이즈 블레이저보다 작아서 부담없는 기본 블레이저에요. 입문용으로 좋습니다.,5.0
가격 대비 상품퀄리티 미쳤네요.. 잘 구매한거 같습니다.,5.0
편하게 입기도 좋고 색상도 무난해요. 그리고 옷감이 부드러워서 좋고 착용감도 좋아요.,5.0
"저랑 스펙 비슷하신 분은 미디움가시면 딱맞을듯하네요
정장마이 95입는데 거의 똑같아요",5.0
무난해서 좋음 예쁘고 세미정장으로 입으면 좋을것같아요,5.0
소매길이도 적당하고 핏도 예쁘게 떨어져서 잘입고다니네요~,4.0
"색감은 그레이 특유의 올드해보일 수 있는 느낌 없이 산뜻합니다.
릴렉스핏을 살까 베이식을 살까 고민했었는데 베이식이 깔끔한 핏일 것 같아 구매했습니다.
어깨부분이 딱 맞기는 하지만 저스트한 핏으로 입고 싶었던터라 마음에 들어요.
케쥬얼하게 셋업입고 싶을때 잘 입을 것 같습니다.",5.0
깔끔하고 모던하더 베스트셀러보다는 스테디셀러 유행은 없지만 포인트도 없다. 여러 코디에 많은 도움에 되는 기본템,4.0
"네 좋습니다 자음에 또 구입하고싶어요
가격대비 대만족요",5.0
"제가 상체가 발달되서 너무포멀한 느낌이 나지않을까
나는 캐주얼한게 좋은데 싶어서 환불하려고 생각하고있었는데 배송받고 입어보니 딱 제가 원하는 핏이었습니다 저랑 비슷한스펙이시면 무조건 투엑스로 가시는게 맞는거강아요 ㅎㅎ",5.0
무난무난한 스탠다드 블레이저네요. 라펠도 오버사이즈 블레이저보다 작아서 부담없는 기본 블레이저에요. 입문용으로 좋습니다.,5.0
가격 대비 상품퀄리티 미쳤네요.. 잘 구매한거 같습니다.,5.0
편하게 입기도 좋고 색상도 무난해요. 그리고 옷감이 부드러워서 좋고 착용감도 좋아요.,5.0
"저랑 스펙 비슷하신 분은 미디움가시면 딱맞을듯하네요
정장마이 95입는데 거의 똑같아요",5.0
무난해서 좋음 예쁘고 세미정장으로 입으면 좋을것같아요,5.0
소매길이도 적당하고 핏도 예쁘게 떨어져서 잘입고다니네요~,4.0
"색감은 그레이 특유의 올드해보일 수 있는 느낌 없이 산뜻합니다.
릴렉스핏을 살까 베이식을 살까 고민했었는데 베이식이 깔끔한 핏일 것 같아 구매했습니다.
어깨부분이 딱 맞기는 하지만 저스트한 핏으로 입고 싶었던터라 마음에 들어요.
케쥬얼하게 셋업입고 싶을때 잘 입을 것 같습니다.",5.0
깔끔하고 모던하더 베스트셀러보다는 스테디셀러 유행은 없지만 포인트도 없다. 여러 코디에 많은 도움에 되는 기본템,4.0
"네 좋습니다 자음에 또 구입하고싶어요
가격대비 대만족요",5.0
뙈지호빗한테도 너무 이뿐핏입니다... 무탠다드 개사기다 증말로,5.0
어깨가 있는편이라 2XL로 선택했는데 세미오버핏으로 아주 잘맞습니다.,5.0
아버지가 데일리로 입을 정장이 필요하다고 하셔서 무탠다드로 사드렸는데 너무 만족해하시네요!,5.0
옷 자체는 좋습니다 가격도 좋고 재질도 좋고 대신 배송된 상품의 단추 마감이 엉망이라 짜증났네요,1.0
매우 만족입니다!! 사이즈도 좋고 색도이뻐요 기본템으로 딱!,5.0
미디움 살까 라지 살까 고민 많이 했었는데 상체가 조금 발달하신 분들이라면 무조건 라지 추천드립니다 어깨가 미디움 샀으면 많이 쪼였을듯,5.0
"작아요
어좁이가되요
어깨가 껴요
한두치수 크게사세요",3.0
"역시 무탠다드 ,, 기대이상으류 너무 마음에 듭니다~",5.0
"어깨가 조금 조이긴하지만 진짜 무난하고 
블레이져 입문으로 딱 좋은거같습니다 ㅎㅎ",5.0
약간 작은게 흠인데 첨으로 입문해봤는데 이뻐요,4.0
기본적이면서도 깔끔한 기본 블레이저. 입문용으로 무조건 추천함. 학생이 입기에도 무난한 영항 디자인. 기본템 중에 기본템!!,5.0
"기본 아이템으로 검정 블레이저가 필요했는데, 원단도 훌륭하고 핏도 딱 떨어지네요, 완전 대만족.0",5.0
블랙애 이어 두번째 구매 무난하고 좋습니다 핏은 좀 널널해요,5.0
생각 보다 너무 잘맞고 이쁘네요!! 100프로 만족해요!,5.0
블레이저 입문인데 아주 좋아요 밥도둑입니다 입문용으로 함 사시던가요,5.0
평범한 블레이저입니다 믿고사는 무탠다드네요,5.0
소매길이도 적당하고 기장도 길지 않고 사이즈가 딱 맞습니다. 색깔도 맘에 들어요.,5.0
"음 품이.클 줄 알았는데 딱맞아서 당황.. 
질은 좋아여 튼튼하고 고급스러워요",5.0
어깨가 너무 좁아보여서 ㅋㅋ그런가 ㅜ 저는 잘 안 입을듯,5.0
블랙 샀었는데 미디엄 그레인 ㄴ 셋업으로 입으려고 또 샀어요~ 마음에 듭니다,5.0
상품 잘 받았습니다. 합리적인 가격으로 옷을 잘 구매했습니다. 많이 파세요.,5.0
어깨가 조금 작게 나온거 말고는 완벽합니다 너무 이뻐요,4.0
저렴한 가격에 디자인도 마음에 들고 입기 편한거 같습니다,5.0
사이즈 불안했는데 잘맞습니다 빨리 봄이되서 입고싶네요,5.0
"색상도 이쁘고 핏도 좋네요
딱 맞는 느낌 기분좋네요",4.0
굿굿 깔끔함 다음에도 또 이용하겠습니다^^하하ㅋㅋ하,5.0
디자인도 깔끔하고 입었을때 편해서 너무 좋네요~,5.0
"핏도 잘 나오고 옷도 짱짱하니 좋아요.
재구매. 의사 있습니다.",5.0
"역시 딱 무텐다드, 기본에 충실하고 군더더기 없습니다.  핏감과 길이감 모두 훌륭하고 그레이 색감 또한 너무 이뻐요.",4.0
무난하고 편하게 입기 딱 좋습니다. 정사이즈 입니다.,5.0
좋은 가격에 셋업 잘구매했어요 바지랑 같이 어울리네요,4.0
대박입니다 몇십만원짜리 옷과 다르지 않네요 진짜 좋아요 가성비 대박!!,5.0
기본으로 무난하게 입을수 있는 블레이저에요 깔끔합니다,5.0
너무 이쁘고 활용성도 좋을거같아요 정사이즈 추천!!!,5.0
"입문용 블레이저로 가격도 부담스럽지 않고, 디자인 최고입니다.",5.0
역시 무신사스탠다드네요. 가성비 너무 좋고 이뻐요,5.0
바지만 약간 수선하니까 딱맞게 핏이 떨어져요 감사합니다,4.0
블레이져 처음 입문하는데 부담스럽지 않고 너무 좋습니다.,5.0
"기본템치고 좋음 진작에 살걸 그랬네요
근데 팔이 좀 짧,,",5.0
블레이져 쓸만한걸 찾고 있었는데 비싼 블레이저들이랑 비교해도 핏 재질 딸리는게 없고 좋아요,5.0
저렴한 가격에 핏도 괜찮고 잘 구매한 것 같아요 만족합니다,5.0
많이 안 입는 스타일 옷이라 고민했는데 가끔씩 다른 스타일링시에 잘 입을 수 있을 것 같아요,5.0
기본 블레이져로 쓸 만 한 제품인 것 같습ㄴ다. 굳굳이에요,5.0
무신사 스탠다드 중에서 가장 좋고 블레이저 입문자에게 추천드립니다. 그리고 색이 밝고 좋습니다.,5.0
첫 블레이저인데 너무 이쁩니다 무신사 믿고 구매합니다,5.0
재질좋고 사이즈도 예쁘게 잘나온듯 싸게 잘샀네요,4.0
면접 준비때문에 샀는데 사이즈도 괜찮고 색도 예뻐요,5.0
"믿고 입는 무신사 스탠다드라는걸 다시 느낍니다.
딱 맞아 떨어지고 재질도 굉장히 만족스러워요",4.0
완전 한겨울에는 이것만 입기는 조금 힘들거같긴해요 저는 추위를 안타는 편이라 안에 두꺼운거 입고 입으면 갠찮을 듯 합니다. 핏 아주 정핏이고 깔끔하게 떨어집니다. 품질은 완전 좋구요,5.0
기본 템이라 그런지 무난하고 예뻐요 코디하기 어렵지도 않고 블레이저 입문용으로 너무 좋네용,4.0
"재질도 좋고 오버핏하게 입으려고샀는데 
제 생각에맞게 왔습니다",5.0
코트안에 이너로도 입고 다니기 좋은 핏이에요 추천드려요,5.0
할인할때 샀는데 기본 디자인 블래이저고 무난하니 이뻐요,5.0
두꺼운 티와 슬랙스로 매칭하면 좋은 기본템이지만 날씨가 조금풀리면 입을수 있을듯해요,4.0
